year_built;volume_interior;volume_other;lot_size;taxable_value
1979;166;11;100;90500
1988;603;73;497;420000
1987;303;75;91;152500
1926;228;12;55;92000
1988;666;145;441;390000
1970;563;60;800;435000
1902;355;41;225;130000
1972;468;78;625;380500
1986;315;14;107;158000
1975;282;27;141;134000
1966;390;84;247;195500
1907;419;44;174;139000
1979;440;29;100;270000
1988;292;71;153;154000
1936;347;52;307;129900
1987;295;71;171;155000
1973;351;25;179;151000
1988;301;100;243;170000
1978;192;14;100;112500
1915;362;110;227;140000
1969;313;32;152;120000
1991;274;22;149;197500
1971;401;45;141;160000
1976;393;23;160;167000
1963;319;17;176;125000
1912;336;29;93;130000
1926;236;14;59;130000
1963;212;20;100;84000
1889;433;118;199;150000
1979;166;11;100;95000
1969;313;32;152;131000
1991;274;22;149;175000
1927;733;31;492;325000
1976;475;62;301;249000
1911;291;0;197;60900
1929;473;62;173;175000
1971;470;90;332;240000
1980;237;12;107;111000
1972;398;28;172;148500
1986;373;88;227;225000
1989;531;50;432;370000
1964;321;23;111;115000
1971;326;31;153;142000
1970;357;45;230;172000
1934;432;72;141;137000
1988;300;105;130;141000
1936;650;0;570;290000
1990;595;110;512;392500
1951;457;16;177;210000
1965;199;13;100;97500
1979;411;69;226;185000
1988;313;102;260;227500
1990;387;117;269;236000
1976;333;57;222;210000
1984;304;20;154;142500
1981;454;67;445;323750
1935;312;28;367;120000
1976;365;23;187;145500
1987;303;75;114;145000
1913;747;0;265;305000
1979;376;30;162;149000
1941;361;99;270;225000
1910;427;33;219;112500
1930;306;0;204;102500
1973;379;0;117;95700
1986;340;109;187;180000
1926;350;29;238;95000
1947;355;287;237;180000
1924;223;10;71;70000
1964;360;23;147;132500
1966;225;15;100;107500
1987;324;127;232;188000
1959;267;19;94;100000
1961;357;82;295;210000
1947;350;63;252;165000
1976;363;42;171;137000
1987;531;64;525;383000
1985;339;49;205;197500
1979;145;18;100;87500
1920;404;0;285;129000
1991;298;77;133;155000
1974;335;60;162;137000
1976;532;60;396;315000
1963;276;14;100;92000
1986;304;20;162;140000
1974;335;60;199;160000
1924;296;16;355;150000
1974;277;27;130;117000
1979;354;20;161;140000
1990;289;68;146;150000
1961;359;27;138;165000
1915;370;0;123;92000
1925;258;61;250;90000
1959;293;50;182;165000
1941;294;0;139;112500
1960;666;75;635;395000
1915;220;0;141;50000
1935;314;0;96;108000
1969;427;95;258;199000
1934;346;0;206;100000
1928;272;12;127;112000
1923;177;24;155;89000
1968;338;64;329;220000
1986;304;20;178;135000
1902;336;42;125;142000
1990;674;104;511;403500
1955;367;87;260;202000
1963;299;17;127;140000
1930;252;24;134;125000
1980;232;12;100;147500
1925;234;35;257;89000
1972;398;68;174;169500
1979;162;12;100;88500
1964;299;21;137;115000
1963;186;24;100;55500
1978;712;90;855;410000
1931;741;25;204;330000
1915;324;29;125;115000
1915;366;65;184;157500
1924;223;10;71;69900
1959;267;19;94;103000
1915;295;0;151;115000
1932;325;0;108;129000
1974;390;60;295;227000
1932;318;0;146;113000
1964;153;10;100;94000
1975;490;72;371;320000
1964;277;14;146;85000
1964;251;17;139;97500
1957;467;22;178;205000
1985;265;19;120;132500
1949;351;18;104;140000
1957;347;65;221;139000
1970;387;50;252;212000
1985;326;80;261;242000
1981;323;25;162;144000
1928;319;52;436;165000
1991;364;112;225;230000
1972;377;50;124;145000
1966;208;22;100;77000
1977;348;61;191;130000
1936;388;0;140;196500
1953;412;19;112;130000
1973;460;44;377;281000
1989;280;0;140;140000
1979;387;52;269;222000
1988;292;77;133;142000
1984;548;90;314;285000
1991;457;50;230;247500
1927;254;24;145;100000
1979;162;12;100;108000
1925;332;0;225;120000
1984;326;20;167;136000
1988;296;75;157;146000
1895;340;59;130;140000
1967;665;0;565;210000
1957;264;20;152;113000
1990;297;71;120;155000
1915;312;20;106;104000
1983;356;66;136;189000
1912;1901;16;700;410000
1972;455;58;295;241000
1916;290;16;173;89000
1927;324;25;171;117500
1984;328;49;213;173000
1959;267;19;94;129000
1964;299;66;170;122000
1955;479;25;158;120314
1987;450;171;230;199000
1971;413;19;158;153000
1979;411;69;315;223500
1969;313;32;152;130000
1979;398;28;100;195000
1979;411;34;262;182500
1979;398;64;274;255000
1971;361;19;161;139500
1955;443;165;388;215400
1926;290;14;155;146000
1915;389;38;125;100000
1977;358;20;149;165000
1977;589;118;424;320000
1927;431;0;170;170000
1970;430;62;264;230000
1976;258;45;160;135000
1924;408;35;159;152500
1984;343;51;292;195000
1911;348;93;208;137000
1963;185;20;100;62000
1924;291;0;300;149000
1981;323;25;156;156500
1963;285;30;136;115000
1989;331;124;252;220000
1967;352;54;238;185000
1965;225;13;100;96000
1947;350;29;200;115000
1930;266;0;160;130000
1987;663;92;742;425000
1964;153;10;100;95000
1987;265;56;134;152000
1928;258;36;206;100000
1983;240;23;189;135000
1988;292;77;115;142500
1963;185;20;100;67500
1936;427;90;282;185000
1938;356;56;258;195000
1972;416;27;158;145000
1979;162;12;100;98000
1962;229;37;167;108000
1972;398;28;172;150000
1906;470;0;70;85000
1983;283;20;104;124500
1969;345;21;132;135000
1933;828;70;501;327500
1979;413;29;100;200000
1909;272;35;85;79000
1965;878;74;948;440000
1975;341;25;150;142500
1926;419;100;522;186000
1935;311;0;88;90000
1979;250;16;100;105000
1986;290;17;224;142000
1977;348;61;163;161000
1976;560;83;486;335000
1976;412;27;188;155000
1980;408;105;173;215000
1972;317;23;87;118000
1979;318;24;142;135000
1923;177;24;155;65000
1964;251;38;132;138000
1988;391;129;281;220000
1963;227;23;100;79000
1912;642;0;105;132000
1977;371;19;169;170000
1978;466;76;273;254000
1983;361;23;194;161000
1990;291;68;135;148000
1945;373;0;127;117500
1920;381;0;82;50000
1963;185;20;100;85000
1983;247;12;70;125000
1961;329;27;137;142500
1954;387;25;193;150000
1957;300;20;149;107000
1969;313;32;152;135000
1970;372;71;316;274000
1927;386;0;198;128700
1979;192;14;100;100000
1952;347;63;207;150000
1966;298;60;186;140000
1964;277;14;144;92500
1988;304;99;255;180000
1962;279;20;125;100000
1980;949;105;885;475000
1894;236;0;66;75000
1934;295;33;320;129000
1980;416;51;259;217000
1980;300;28;126;144000
1988;305;43;197;190000
1972;398;28;174;176500
1979;166;11;100;91000
1977;425;71;385;260000
1935;453;25;388;175000
1932;344;21;65;115000
1976;782;100;600;350000
1941;294;0;142;97500
1979;411;67;203;192500
1975;341;77;197;163000
1987;578;53;1153;588000
1930;390;129;304;137500
1985;294;50;164;125000
1972;398;68;172;195000
1909;573;0;77;75000
1936;942;52;626;425000
1931;200;0;100;62500
1964;268;17;148;138000
1987;448;43;264;220000
1966;199;12;100;81500
1980;400;64;258;268500
1971;361;61;158;153000
1991;274;22;149;180000
1915;418;228;294;160000
1915;303;30;210;125000
1938;389;63;360;258000
1981;354;23;171;129500
1977;358;20;149;170000
1969;518;57;549;280000
1978;475;65;340;325000
1969;313;32;152;108500
1986;293;43;139;165000
1976;351;19;196;157500
1970;370;77;273;200000
1986;314;50;177;170000
1975;277;80;153;131000
1905;291;0;91;95000
1927;781;157;815;230000
1982;315;20;143;147500
1900;376;0;190;115000
1980;155;9;100;75000
1991;274;22;149;180000
1991;275;22;192;190000
1972;377;50;124;150000
1971;389;63;345;255000
1988;292;77;149;138500
1979;365;22;197;159000
1978;477;174;737;412500
1983;355;19;155;130000
1969;313;32;152;148000
1961;373;496;366;245000
1987;295;71;130;145000
1935;339;27;304;145000
1912;1901;16;700;450000
1989;350;140;205;210000
1992;359;98;261;238000
